scale,instance_idx,pref_id,w1,w2,f1,f2,scheduled,seconds
s10_n300,0,0,1.0,0.0,0.3587077357865352,0.5384366913958459,83,0.40811705589294434
s10_n300,0,1,0.98,0.02,0.3592204924699166,0.5384366913958459,82,0.2919957637786865
s10_n300,0,2,0.96,0.04,0.3663185432785298,0.5505942369375868,85,0.31494808197021484
s10_n300,0,3,0.94,0.06,0.3633790253277407,0.5948150647797027,85,0.30562686920166016
s10_n300,0,4,0.92,0.08,0.36676304865289283,0.6311811938735585,86,0.29616880416870117
s10_n300,0,5,0.9,0.1,0.35868591332104566,0.7043706279572247,84,0.27261948585510254
s10_n300,0,6,0.88,0.12,0.3650877618503156,0.7147071033263611,86,0.29706573486328125
s10_n300,0,7,0.86,0.14,0.36232697897573063,0.7273565579553432,85,0.29152536392211914
s10_n300,0,8,0.84,0.16,0.36593226598504264,0.7273565579553432,86,0.2710258960723877
s10_n300,0,9,0.8200000000000001,0.18,0.35997102536114556,0.7544480823972417,85,0.2830617427825928
s10_n300,0,10,0.8,0.2,0.3373295790410527,0.7855799131589415,83,0.2630002498626709
s10_n300,0,11,0.78,0.22,0.356570702507174,0.7777324830145335,86,0.2916224002838135
s10_n300,0,12,0.76,0.24,0.34690389217939943,0.7833270295379652,83,0.27899646759033203
s10_n300,0,13,0.74,0.26,0.3395936103266494,0.8238297034122165,84,0.29622483253479004
s10_n300,0,14,0.72,0.28,0.32644003311454567,0.8368507164053337,82,0.28400349617004395
s10_n300,0,15,0.7,0.3,0.3214540735221259,0.8745847637893008,82,0.30019688606262207
s10_n300,0,16,0.6799999999999999,0.32,0.3181012937500374,0.8822281031912728,82,0.26887941360473633
s10_n300,0,17,0.6599999999999999,0.34,0.32079685483138026,0.8799399075759247,82,0.28215551376342773
s10_n300,0,18,0.64,0.36,0.3152035929168177,0.8799399075759247,81,0.2836015224456787
s10_n300,0,19,0.62,0.38,0.3147474871835276,0.8698925470434836,80,0.24222230911254883
s10_n300,0,20,0.6,0.4,0.3159587698175487,0.8698925470434836,81,0.29645562171936035
s10_n300,0,21,0.5800000000000001,0.42,0.2988312579588963,0.8976107608663886,79,0.26000165939331055
s10_n300,0,22,0.56,0.44,0.30018759382733096,0.8976107608663887,79,0.22699594497680664
s10_n300,0,23,0.54,0.46,0.2979948996772227,0.8976107608663887,79,0.25999999046325684
s10_n300,0,24,0.52,0.48,0.2894232221470914,0.8957816031109044,77,0.23199868202209473
s10_n300,0,25,0.5,0.5,0.30199331990559897,0.8926427303153301,79,0.23265719413757324
s10_n300,0,26,0.48,0.52,0.2925987012816667,0.8966508215035305,78,0.2140030860900879
s10_n300,0,27,0.45999999999999996,0.54,0.2897781978563407,0.9000657250033562,78,0.23200035095214844
s10_n300,0,28,0.43999999999999995,0.56,0.2699926591823489,0.9228217606551615,76,0.25661635398864746
s10_n300,0,29,0.42000000000000004,0.58,0.2698253160414936,0.8982134664397836,75,0.24900126457214355
s10_n300,0,30,0.4,0.6,0.2632093608674736,0.8922448225441452,74,0.2690000534057617
s10_n300,0,31,0.38,0.62,0.2614771364395648,0.8960087726221841,74,0.24115681648254395
s10_n300,0,32,0.36,0.64,0.26759197267336177,0.9042267382470276,76,0.27117419242858887
s10_n300,0,33,0.33999999999999997,0.66,0.26954014539776694,0.9042267382470276,76,0.2619938850402832
s10_n300,0,34,0.31999999999999995,0.68,0.25031497976690054,0.8948728160953078,73,0.20683050155639648
s10_n300,0,35,0.30000000000000004,0.7,0.2606280753649507,0.9176200266948304,75,0.21458101272583008
s10_n300,0,36,0.28,0.72,0.23974110227175574,0.924943470716187,72,0.2197573184967041
s10_n300,0,37,0.26,0.74,0.24055565046156047,0.9239602443337565,72,0.20358037948608398
s10_n300,0,38,0.24,0.76,0.23355173269406654,0.9138480486267384,71,0.20143604278564453
s10_n300,0,39,0.21999999999999997,0.78,0.2429586865678421,0.9138480486267384,73,0.18501543998718262
s10_n300,0,40,0.19999999999999996,0.8,0.255873526356205,0.923802236618425,75,0.22101831436157227
s10_n300,0,41,0.18000000000000005,0.82,0.24710268810841962,0.9138480486267382,73,0.1936185359954834
s10_n300,0,42,0.16000000000000003,0.84,0.24710268810841962,0.9138480486267382,73,0.20733165740966797
s10_n300,0,43,0.14,0.86,0.24710268810841962,0.9138480486267382,73,0.1891498565673828
s10_n300,0,44,0.12,0.88,0.24148267021836436,0.8922420721249777,72,0.22200417518615723
s10_n300,0,45,0.09999999999999998,0.9,0.24268585506222246,0.898248629032928,73,0.22899770736694336
s10_n300,0,46,0.07999999999999996,0.92,0.22732522466910574,0.9007120972059734,70,0.23814749717712402
s10_n300,0,47,0.06000000000000005,0.94,0.22732522466910568,0.9007120972059733,70,0.24895811080932617
s10_n300,0,48,0.040000000000000036,0.96,0.23864654747329608,0.9007120972059733,72,0.2291727066040039
s10_n300,0,49,0.020000000000000018,0.98,0.23121724905718535,0.9107594577384144,71,0.26714587211608887
s10_n300,0,50,0.0,1.0,0.23121724905718535,0.9107594577384144,71,0.26399731636047363
