num_prefs,scale_group,records,avg_hv,std_hv,avg_nd_points,avg_seconds,std_seconds,avg_seconds_per_pref
20,small,30,0.29877428479365514,0.03347222021147379,8.633333333333333,0.09143997033437093,0.023315331847771067,0.004571998516718548
20,medium,30,0.33201525012083694,0.055156742467161866,11.733333333333333,0.2919997851053874,0.07987965210717973,0.014599989255269369
20,large,30,0.3016473843651038,0.06228064745983623,13.333333333333334,1.2309647878011067,0.477650627262473,0.061548239390055354
20,all,90,0.31081230642653196,0.05337578745224604,11.233333333333333,0.538134847746955,0.5710341822959941,0.02690674238734775
50,small,30,0.3023477158513803,0.03416054753029833,11.066666666666666,0.17980544567108153,0.05247342406638761,0.0035961089134216306
50,medium,30,0.3361922830397718,0.05600152913976796,18.6,0.6823438247044881,0.2171054579806392,0.013646876494089766
50,large,30,0.3044674382506463,0.062371733739801156,24.033333333333335,3.1236053307851157,1.190665550553714,0.062472106615702315
50,all,90,0.3143358123805996,0.05396328476521359,17.9,1.3285848670535618,1.466257988010903,0.026571697341071236
100,small,30,0.30382160160420063,0.0341133518636369,13.066666666666666,0.34359302520751955,0.10781421430785999,0.003435930252075195
100,medium,30,0.3375967667040495,0.05637525323465582,22.7,1.384471861521403,0.42649067453273243,0.01384471861521403
100,large,30,0.3058784560691106,0.06282984884023034,33.5,5.772530364990234,2.010758521968197,0.05772530364990234
100,all,90,0.31576560812578686,0.054247182130869466,23.08888888888889,2.500198417239719,2.641462484754629,0.025001984172397185
150,small,30,0.3041600543928384,0.033822570108865704,13.466666666666667,0.5252472003300984,0.15884614393911667,0.0035016480022006563
150,medium,30,0.33874229700178116,0.05626677968738785,24.633333333333333,2.1351258675257365,0.644912401335552,0.014234172450171573
150,large,30,0.30634581781444126,0.06252774041797536,38.46666666666667,8.773027555147808,3.03105703538478,0.05848685036765204
150,all,90,0.31641605640302034,0.05414004169738188,25.522222222222222,3.811133541001214,4.002833777074023,0.025407556940008093
200,small,30,0.3044006084032979,0.03384034073769574,13.233333333333333,0.7224048852920533,0.22641260217269232,0.003612024426460266
200,medium,30,0.3388649079048022,0.05633003457175402,25.5,2.8374691247940063,0.8559234768657814,0.01418734562397003
200,large,30,0.30695846271469523,0.06278571581523677,40.86666666666667,11.67093399365743,4.346298336164535,0.058354669968287164
200,all,90,0.3167413263409318,0.05422299539802435,26.533333333333335,5.07693600124783,5.3990115715133715,0.025384680006239148
