num_prefs,scale_group,records,avg_hv,std_hv,avg_normalized_hv,std_normalized_hv,avg_igd_to_k200,std_igd_to_k200,avg_nd_points,avg_seconds,std_seconds,avg_seconds_per_pref
20,small,30,0.29877428479365514,0.03347222021147379,98.14511892064098,0.9581527940169157,0.015709175952000894,0.007245324469529419,8.633333333333333,0.0946265459060669,0.02501150675662173,0.004731327295303345
20,medium,30,0.33201525012083694,0.055156742467161866,97.99003866154371,0.9045683625366362,0.013036662450053537,0.0035023567474153335,11.733333333333333,0.32955702145894367,0.1066051775456532,0.016477851072947185
20,large,30,0.3016473843651038,0.06228064745983623,98.22921802590099,0.7169943655677338,0.011115248216115575,0.0021347629811560662,13.333333333333334,1.2987459262212118,0.434222810710107,0.06493729631106059
20,all,90,0.31081230642653196,0.05337578745224604,98.1214585360286,0.8620876158566345,0.013287028872723336,0.005116198292281116,11.233333333333333,0.5743098311954075,0.583094037235609,0.028715491559770375
50,small,30,0.3023477158513803,0.03416054753029833,99.30871628259948,0.670877068842053,0.00669443557099444,0.0035334331392225015,11.066666666666666,0.1959887425104777,0.06814810420403268,0.003919774850209553
50,medium,30,0.3361922830397718,0.05600152913976796,99.2079873756631,0.5608579337034135,0.006243973062661437,0.0022859802666446794,18.6,0.773775060971578,0.2741794565024085,0.01547550121943156
50,large,30,0.3044674382506463,0.062371733739801156,99.18262469987674,0.38040230482842324,0.006145413095278456,0.0014725252265274593,24.033333333333335,3.2404069185256956,1.0691871879239965,0.06480813837051393
50,all,90,0.3143358123805996,0.05396328476521359,99.23310945271311,0.5470847189095353,0.006361273909644778,0.0025564128621799157,17.9,1.4033902406692504,1.470046744908006,0.028067804813385014
100,small,30,0.30382160160420063,0.0341133518636369,99.79949775428099,0.35919764054274733,0.002732311243128521,0.0037388832909477977,13.066666666666666,0.9045642773310344,0.29047856770508107,0.009045642773310342
100,medium,30,0.3375967667040495,0.05637525323465582,99.61553070851184,0.4853310851904989,0.00317155889599273,0.0016976895679265826,22.7,3.419358992576599,1.1933513153302302,0.034193589925765995
100,large,30,0.3058784560691106,0.06282984884023034,99.62827851036484,0.30354590920108127,0.003709811040964165,0.001375893170136554,33.5,12.858948874473572,4.286406670031844,0.12858948874473575
100,all,90,0.31576560812578686,0.054247182130869466,99.68110232438588,0.39488007792664137,0.0032045603933618058,0.0025045161939690314,23.08888888888889,5.727624048127068,5.7669576800935225,0.05727624048127068
150,small,30,0.3041600543928384,0.033822570108865704,99.92110535672522,0.27507129967890925,0.0016973006291076884,0.002319752754578746,13.466666666666667,1.367092251777649,0.4439983099034823,0.009113948345184327
150,medium,30,0.33874229700178116,0.05626677968738785,99.96633870679247,0.2650249558530278,0.0022738323656035773,0.0020604785411988996,24.633333333333333,5.150795912742614,1.8163559785079086,0.0343386394182841
150,large,30,0.30634581781444126,0.06252774041797536,99.80593409847145,0.3029370056333494,0.002704278677009417,0.0012538167509746512,38.46666666666667,19.270554558436075,6.442437377549514,0.12847036372290718
150,all,90,0.31641605640302034,0.05414004169738188,99.89779272066302,0.28645305024400153,0.002225137223906894,0.001954781888662327,25.522222222222222,8.59614757431878,8.642212059425711,0.05730765049545853
200,small,30,0.3044006084032979,0.03384034073769574,100.0,5.900736244778668e-15,0.0,0.0,13.233333333333333,1.8008347749710083,0.5753303653041061,0.009004173874855042
200,medium,30,0.3388649079048022,0.05633003457175402,100.0,4.570690641278055e-15,0.0,0.0,25.5,6.847295594215393,2.412735034361927,0.03423647797107697
200,large,30,0.30695846271469523,0.06278571581523677,100.0,3.731953281081887e-15,0.0,0.0,40.86666666666667,25.70306706428528,8.559748002773066,0.1285153353214264
200,all,90,0.3167413263409318,0.05422299539802435,100.0,4.763489323195749e-15,0.0,0.0,26.533333333333335,11.450399144490559,11.527427861254276,0.057251995722452806
